"","ResponseId","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q12_7","Q12_8","Q13","Q14","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q15_8","Q15_9","Q15_10","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16_8","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_7","Q32_8","Q32_9","Q32_10","Q32_11","Q32_12","Q34_1","Q34_2","Q34_3","Q34_4","Q34_5","Q34_6","Q34_7","Q34_8","Q34_9","Q34_10","Q34_11","Q34_12"
"1","R_28Yb8c29DL5Mi0P","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","I don’t know","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","Yes","Yes","2-3 times per year","2-3 times per week","monthly","yearly","weekly","yearly","2-3 times per year","almost never","weekly","2-3 times per year","Yes","Yes","No","No","No","Yes","No","Yes","N/A (did not use)","Somewhat important","Not very important","Extremely important","Not very important","Extremely important","Not at all important","Somewhat important","Not very important","Very important","Somewhat important","N/A (did not use)","Not at all important","Not very important","Very important","Not at all important","Somewhat important","Not very important","Not at all important","Extremely important","Not at all important","Somewhat important","N/A (did not use)","Not very important"
"2","R_1r23UTylPpiT2aX","more than 1 hour away (more than 60 miles)","I don’t know","I don’t know","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","more than 1 hour away (more than 60 miles)","I don’t know","Yes","Yes","2-3 times per year","yearly","monthly","weekly","monthly","2-3 times per year","monthly","weekly","2-3 times per year","2-3 times per year","Yes","Yes","Yes","No","No","Yes","No","No","Not very important","Not at all important","Somewhat important","Not at all important","Not very important","Not very important","N/A (did not use)","Not very important","Somewhat important","Somewhat important","Very important","Somewhat important","Not very important","Not at all important","Not at all important","N/A (did not use)","N/A (did not use)","Not at all important","Somewhat important","Not very important","Not at all important","Not very important","Somewhat important","Not very important"
"3","R_eA5YRkWTIKSUrYt","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","Yes","Yes","daily","daily","daily","daily","daily","daily","almost never","almost never","almost never","almost never","Yes","Yes","Yes","Yes","No","No","No","No","Not at all important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Not at all important","Somewhat important","Somewhat important","Somewhat important","Extremely important","Not at all important","Very important","Very important","Very important","Very important","Very important","Very important","Not at all important","Somewhat important","Very important","Very important","Extremely important"
"4","R_2zpiaGWac2NpV7d","within a 15 minute drive (between 5 and 15 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","Yes","Yes","weekly","weekly","monthly","daily","daily","weekly","monthly","2-3 times per week","monthly","weekly","Yes","No","Yes","Yes","Yes","No","Yes","No","Very important","Somewhat important","Somewhat important","Very important","Somewhat important","Somewhat important","Not at all important","Not very important","Very important","Somewhat important","Very important","Somewhat important","Not very important","Very important","Not very important","Somewhat important","Not very important","Somewhat important","Not very important","Not at all important","Somewhat important","Very important","Somewhat important","Not very important"
"5","R_3JFr5CzBW6hW6o9","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","I don’t know","within a 1 hour drive (between 15 and 60 miles)","I don’t know","more than 1 hour away (more than 60 miles)","more than 1 hour away (more than 60 miles)","Yes","Yes","weekly","yearly","2-3 times per week","yearly","2-3 times per year","monthly","2-3 times per year","almost never","almost never","2-3 times per week","No","Yes","Yes","No","No","No","No","Yes","Very important","Somewhat important","Not very important","Not very important","N/A (did not use)","N/A (did not use)","Somewhat important","Extremely important","Not very important","Very important","Not very important","Not very important","N/A (did not use)","Extremely important","Somewhat important","Not very important","Extremely important","Extremely important","Very important","N/A (did not use)","Very important","Not at all important","Somewhat important","Not very important"
"6","R_2pSsMMBmgTEynmw","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 15 minute drive (between 5 and 15 miles)","Yes","Yes","almost never","weekly","weekly","daily","daily","2-3 times per year","monthly","almost never","almost never","monthly","No","No","No","No","No","No","No","No","Very important","Somewhat important","Very important","Somewhat important","Not very important","Not very important","Not at all important","N/A (did not use)","Somewhat important","Somewhat important","Not at all important","N/A (did not use)","Not very important","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","Very important","Somewhat important","N/A (did not use)","N/A (did not use)"
"7","R_2TSIbkRbONTuWLh","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","Yes","Yes","2-3 times per week","weekly","weekly","2-3 times per week","2-3 times per week","monthly","2-3 times per week","2-3 times per week","monthly","2-3 times per week","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Very important","Extremely important","Very important","Very important","Extremely important","Very important","Very important","Extremely important","Very important","Very important","Very important","Extremely important","Very important","Extremely important","Very important","Very important","Very important","Extremely important","Very important","Very important","Extremely important","Very important","Very important","Extremely important"
"8","R_1P5gOlQzwkWgLPq","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","more than 1 hour away (more than 60 miles)","within a 5 minute drive (less than 5 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","No","Yes","monthly","weekly","2-3 times per week","monthly","weekly","2-3 times per week","2-3 times per year","2-3 times per week","weekly","weekly","No","No","No","Yes","Yes","No","No","No","Not very important","Somewhat important","Very important","Not at all important","Somewhat important","Somewhat important","N/A (did not use)","Very important","Not very important","Somewhat important","Not very important","Very important","Somewhat important","Somewhat important","Very important","Very important","Not at all important","Very important","Somewhat important","Not very important","Somewhat important","Somewhat important","Very important","Very important"
"9","R_31iLYaKz3DKSs8S","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","No","Yes","weekly","2-3 times per week","2-3 times per week","2-3 times per week","weekly","2-3 times per week","weekly","weekly","monthly","2-3 times per year","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat important","Not very important","Not at all important","Somewhat important","Somewhat important","Very important","Somewhat important","Not at all important","Somewhat important","Somewhat important","Very important","Somewhat important","Somewhat important","Not very important","Somewhat important","Very important","Very important","Somewhat important","Somewhat important","Very important","Very important","Not very important","Somewhat important","Very important"
"10","R_28YgXnMFozSjSQh","more than 1 hour away (more than 60 miles)","I don’t know","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","more than 1 hour away (more than 60 miles)","I don’t know","more than 1 hour away (more than 60 miles)","Yes","Yes","2-3 times per year","yearly","2-3 times per year","2-3 times per year","yearly","yearly","monthly","2-3 times per year","yearly","almost never","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Very important","Extremely important","Extremely important","Very important","Somewhat important","Very important","Extremely important","Extremely important","Very important","Very important","Somewhat important","Very important","Very important","Extremely important","Extremely important","Very important","Extremely important","Very important","Very important","Somewhat important","Very important","Extremely important","Very important","Very important"
"11","R_3EtzcXz3prbglrb","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","I don’t know","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","more than 1 hour away (more than 60 miles)","Yes","Yes","2-3 times per year","yearly","almost never","yearly","daily","yearly","almost never","daily","monthly","monthly","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Extremely important","Very important","Extremely important","Very important","Extremely important","Very important","Somewhat important","Extremely important","Somewhat important","Extremely important","Somewhat important","Very important","Extremely important","Very important","Very important","Extremely important","Very important","Extremely important","Very important","Extremely important","Very important","Extremely important","Very important","Extremely important"
"12","R_3HIGeUkc2lK5t41","within a 15 minute drive (between 5 and 15 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 15 minute drive (between 5 and 15 miles)","Yes","Yes","2-3 times per week","daily","monthly","weekly","daily","weekly","weekly","2-3 times per week","weekly","almost never","No","No","Yes","No","Yes","No","Yes","No","Somewhat important","Extremely important","Very important","Extremely important","Somewhat important","Very important","Somewhat important","Extremely important","Very important","Extremely important","Somewhat important","Very important","Extremely important","Very important","Somewhat important","Extremely important","Somewhat important","Very important","Somewhat important","Extremely important","Very important","Extremely important","Somewhat important","Very important"
"13","R_22nqi1drP6Wu8Hy","within a 5 minute drive (less than 5 miles)","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","Yes","Yes","monthly","weekly","monthly","weekly","weekly","daily","2-3 times per week","weekly","monthly","weekly","Yes","Yes","No","No","Yes","No","Yes","Yes","Extremely important","Somewhat important","Very important","Somewhat important","Extremely important","Extremely important","Very important","Extremely important","Very important","Somewhat important","Extremely important","Very important","Extremely important","Very important","Somewhat important","Very important","Very important","Somewhat important","Very important","Extremely important","Extremely important","Somewhat important","Very important","Extremely important"
"14","R_3suLBb37E883vRe","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","I don’t know","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","Yes","Yes","almost never","almost never","almost never","daily","daily","almost never","almost never","almost never","almost never","almost never","No","No","No","No","No","No","No","No","N/A (did not use)","N/A (did not use)","Extremely important","Very important","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","Somewhat important","Somewhat important","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","Not at all important","Not at all important","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","Not at all important","N/A (did not use)","N/A (did not use)"
"15","R_1r8NcoWQYBJiQow","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","I don’t know","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","No","No","almost never","2-3 times per week","2-3 times per week","monthly","monthly","monthly","weekly","yearly","yearly","monthly","Yes","Yes","Yes","No","Yes","No","No","Yes","Not at all important","Not at all important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Very important","Very important","Not very important","Not at all important","Not very important","Not very important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Very important","Somewhat important","Not at all important","Not at all important"
"16","R_NUT9WtLgvvCwxvH","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","Yes","Yes","daily","2-3 times per week","2-3 times per week","daily","daily","weekly","monthly","monthly","weekly","monthly","No","No","No","No","No","No","No","No","Extremely important","Somewhat important","Somewhat important","Extremely important","Extremely important","Very important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Not at all important","Not very important","Extremely important","Extremely important","Extremely important","Extremely important","Not very important","Somewhat important","Extremely important","Not very important","Very important"
"17","R_3lMJJmYOYBo9zFJ","more than 1 hour away (more than 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","No","No","2-3 times per year","monthly","weekly","yearly","monthly","weekly","monthly","monthly","yearly","monthly","No","No","No","No","No","No","No","Yes","Somewhat important","Not very important","Very important","Not at all important","Somewhat important","Not very important","Somewhat important","Very important","Not very important","Very important","Not very important","Not at all important","Not very important","Somewhat important","Very important","Somewhat important","Not very important","Not at all important","Not very important","Somewhat important","Very important","Somewhat important","Not very important","Not at all important"
"18","R_W10Z4u5rwgmBHt7","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","more than 1 hour away (more than 60 miles)","Yes","Yes","monthly","weekly","yearly","2-3 times per year","2-3 times per week","2-3 times per year","yearly","weekly","monthly","yearly","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Somewhat important","Very important","Not at all important","Not very important","Somewhat important","Not very important","Not at all important","Very important","Not at all important","Somewhat important","Not at all important","Not very important","Somewhat important","Very important","Not at all important","Not very important","Somewhat important","Not at all important","Not very important","Somewhat important","Not very important","Not at all important","Somewhat important","Not at all important"
"19","R_1IHstPVAXByzqRQ","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","Yes","Yes","almost never","daily","daily","daily","daily","weekly","weekly","2-3 times per year","2-3 times per year","yearly","No","Yes","Yes","Yes","Yes","No","No","No","Extremely important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Not at all important","Extremely important","Extremely important","Not at all important","N/A (did not use)","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Not at all important","Extremely important","Extremely important","Not at all important","N/A (did not use)"
"20","R_yyUdNnkWH46L3SF","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 10 minute walk (less than a half mile)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","Yes","Yes","2-3 times per week","weekly","weekly","2-3 times per week","daily","2-3 times per week","weekly","2-3 times per week","2-3 times per week","weekly","Yes","No","Yes","Yes","No","No","No","Yes","Extremely important","Extremely important","Very important","Extremely important","Very important","Extremely important","Very important","Not at all important","Not very important","Somewhat important","Somewhat important","Somewhat important","Not very important","Not very important","Somewhat important","Somewhat important","Not very important","Somewhat important","Somewhat important","Somewhat important","Not very important","Not very important","Very important","Somewhat important"
"21","R_2YG7evIMGcflLkx","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","No","Yes","almost never","yearly","yearly","almost never","2-3 times per week","almost never","almost never","almost never","almost never","almost never","No","No","No","No","No","No","No","No","Not at all important","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Not very important","Not at all important","Not at all important","Not at all important","Somewhat important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important"
"22","R_2teZGQ9lIz93MNq","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","No","Yes","weekly","monthly","2-3 times per year","yearly","weekly","weekly","monthly","2-3 times per year","weekly","monthly","Yes","No","Yes","Yes","No","Yes","Yes","No","Somewhat important","Very important","Extremely important","Very important","Somewhat important","Very important","Very important","Somewhat important","Very important","Very important","Somewhat important","Very important","Somewhat important","Very important","Somewhat important","Not very important","Somewhat important","Extremely important","Very important","Somewhat important","Not very important","Somewhat important","Very important","Somewhat important"
"23","R_1N8n69cRjY5qyc3","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","Yes","Yes","2-3 times per week","weekly","2-3 times per week","daily","daily","2-3 times per week","weekly","weekly","weekly","2-3 times per week","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very important","Extremely important","Somewhat important","Extremely important","Not very important","Extremely important","Very important","Somewhat important","Very important","Extremely important","Extremely important","Extremely important","Somewhat important","Very important","Extremely important","Somewhat important","Very important","Somewhat important","Very important","Extremely important","Somewhat important","Very important","Somewhat important","Very important"
"24","R_3oHrkGycIjePvur","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","Yes","Yes","monthly","2-3 times per year","weekly","2-3 times per week","weekly","monthly","2-3 times per year","monthly","weekly","monthly","Yes","No","Yes","Yes","No","Yes","Yes","No","Somewhat important","Very important","Extremely important","Very important","Somewhat important","Not very important","Somewhat important","Very important","Extremely important","Very important","Somewhat important","Very important","Somewhat important","Not very important","Somewhat important","Very important","Somewhat important","Very important","Extremely important","Very important","Somewhat important","Not very important","Somewhat important","Very important"
"25","R_1pLrxMGzxkyuhpH","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 15 minute drive (between 5 and 15 miles)","I don’t know","more than 1 hour away (more than 60 miles)","No","Yes","weekly","monthly","weekly","monthly","weekly","2-3 times per week","weekly","weekly","weekly","monthly","No","No","No","No","No","No","No","No","Extremely important","Very important","Somewhat important","Extremely important","Very important","Very important","Very important","Extremely important","Very important","Very important","Very important","Extremely important","Very important","Very important","Extremely important","Very important","Very important","Very important","Extremely important","Very important","Somewhat important","Extremely important","Very important","Very important"
"26","R_2wFG5K2jPFQOlT3","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","Yes","Yes","2-3 times per week","daily","daily","daily","daily","daily","daily","weekly","weekly","monthly","No","No","No","No","No","No","No","No","Very important","Not at all important","Not at all important","Very important","Very important","Very important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Very important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Very important"
"27","R_2EjbjMf4sN6Kvmz","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","more than 1 hour away (more than 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","Yes","Yes","2-3 times per week","weekly","monthly","weekly","monthly","monthly","weekly","weekly","monthly","weekly","Yes","Yes","No","No","No","No","No","Yes","Somewhat important","Not very important","Not at all important","Not very important","Somewhat important","Somewhat important","Somewhat important","Very important","Not very important","Not very important","Somewhat important","Not very important","Somewhat important","Not very important","Very important","Somewhat important","Somewhat important","Not very important","Somewhat important","Very important","Somewhat important","Somewhat important","Not very important","Somewhat important"
"28","R_Yc1NLgJhlxuvrix","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","No","Yes","monthly","monthly","yearly","monthly","weekly","2-3 times per year","monthly","2-3 times per year","2-3 times per year","2-3 times per year","No","Yes","Yes","Yes","No","Yes","Yes","No","Somewhat important","Not at all important","Not very important","Somewhat important","Somewhat important","Not very important","Not at all important","Very important","Somewhat important","Not very important","Not very important","Somewhat important","Somewhat important","Not very important","Not at all important","Not very important","Somewhat important","Not very important","Not at all important","Somewhat important","Somewhat important","Not very important","Not very important","Not very important"
"29","R_22V0GEuGaPQe2os","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","Yes","No","monthly","2-3 times per year","weekly","2-3 times per week","2-3 times per year","monthly","2-3 times per year","monthly","2-3 times per year","weekly","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Not very important","Extremely important","Somewhat important","Not very important","Very important","Not very important","Somewhat important","Not at all important","Not very important","Very important","Not very important","Somewhat important","Extremely important","Somewhat important","Not at all important","Somewhat important","Not very important","Very important","Somewhat important","Not very important","Not very important","Not at all important","Not very important","Somewhat important"
"30","R_2TuyBxGL4wymy0X","more than 1 hour away (more than 60 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","Yes","Yes","2-3 times per week","2-3 times per week","2-3 times per week","daily","daily","daily","weekly","2-3 times per week","weekly","2-3 times per week","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat important","Very important","Somewhat important","Very important","Somewhat important","Somewhat important","Very important","Very important","Very important","Very important","Very important","Very important","Extremely important","Very important","Very important","Extremely important","Very important","Very important"
"31","R_1fmb69DTID4Ubya","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","No","No","daily","2-3 times per week","2-3 times per week","weekly","monthly","monthly","2-3 times per year","weekly","weekly","monthly","No","No","Yes","Yes","No","No","No","No","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Somewhat important","Somewhat important","Somewhat important","Extremely important","Extremely important","Very important","Extremely important","Somewhat important","Not very important","Not very important","Very important","Somewhat important","Not very important","Not very important","Not very important","Very important","Very important","Somewhat important","Not very important"
"32","R_cNsIEou0JEwvhg5","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","Yes","Yes","almost never","weekly","monthly","daily","daily","2-3 times per year","monthly","almost never","almost never","almost never","No","Yes","Yes","Yes","Yes","No","No","No","Extremely important","Very important","Somewhat important","Somewhat important","Very important","Extremely important","Extremely important","N/A (did not use)","Somewhat important","Very important","Somewhat important","Extremely important","N/A (did not use)","Very important","Somewhat important","Somewhat important","Extremely important","Extremely important","Extremely important","N/A (did not use)","Somewhat important","Not very important","Not very important","Extremely important"
"33","R_2WZGtt47koTWrUQ","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","No","Yes","monthly","monthly","monthly","weekly","2-3 times per week","monthly","monthly","2-3 times per year","2-3 times per year","yearly","Yes","No","Yes","Yes","No","Yes","Yes","No","Not very important","Somewhat important","Somewhat important","Somewhat important","Very important","Very important","Extremely important","Somewhat important","Very important","Somewhat important","Not very important","Somewhat important","Somewhat important","Very important","Somewhat important","Somewhat important","Very important","Very important","Somewhat important","Very important","Somewhat important","Somewhat important","Somewhat important","Very important"
"34","R_1ouOpKdl4iqMZpf","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","Yes","Yes","2-3 times per week","weekly","monthly","weekly","weekly","2-3 times per week","monthly","monthly","weekly","weekly","Yes","Yes","No","No","Yes","No","No","No","Somewhat important","Not very important","Not very important","Not at all important","Somewhat important","Very important","Somewhat important","Somewhat important","Not very important","Not very important","Somewhat important","Somewhat important","Not very important","Not at all important","Somewhat important","Somewhat important","Not very important","Not very important","Somewhat important","Not very important","Not at all important","Somewhat important","Somewhat important","Somewhat important"
