"","ResponseId","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q12_7","Q12_8","Q13","Q14","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q15_8","Q15_9","Q15_10","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16_8","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_7","Q32_8","Q32_9","Q32_10","Q32_11","Q32_12","Q34_1","Q34_2","Q34_3","Q34_4","Q34_5","Q34_6","Q34_7","Q34_8","Q34_9","Q34_10","Q34_11","Q34_12"
"87","R_2fkX4unziSIeCsd","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 1 hour drive (between 15 and 60 miles)","No","Yes","2-3 times per year","monthly","2-3 times per week","monthly","weekly","monthly","2-3 times per week","weekly","monthly","weekly","Yes","No","Yes","No","No","No","No","No","Somewhat important","Very important","Extremely important","Somewhat important","Very important","Somewhat important","Not very important","Somewhat important","Very important","Extremely important","Very important","Somewhat important","Not very important","Very important","Extremely important","Somewhat important","Very important","Somewhat important","Not at all important","Very important","Not very important","Very important","Extremely important","Somewhat important"
"88","R_1jSXbhORFrfv0IT","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","more than 1 hour away (more than 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 10 minute walk (less than a half mile)","more than 1 hour away (more than 60 miles)","within a 5 minute drive (less than 5 miles)","within a 1 hour drive (between 15 and 60 miles)","Yes","Yes","weekly","2-3 times per week","monthly","daily","weekly","2-3 times per week","yearly","weekly","2-3 times per year","daily","Yes","Yes","No","Yes","No","Yes","No","No","Extremely important","Somewhat important","Extremely important","Very important","Not very important","Extremely important","Very important","Extremely important","Not very important","Extremely important","Very important","Not very important","Somewhat important","Extremely important","Very important","Extremely important","Not very important","Very important","Not at all important","Extremely important","Somewhat important","Very important","Not very important","Extremely important"
"89","R_3fMLtQzBePXIjxC","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","more than 1 hour away (more than 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","more than 1 hour away (more than 60 miles)","No","No","daily","2-3 times per week","2-3 times per week","2-3 times per week","2-3 times per week","2-3 times per week","yearly","weekly","weekly","yearly","No","No","No","No","No","No","No","No","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Not very important","Not at all important","Somewhat important","Not at all important","Not at all important"
"90","R_9Bl1H6aAjML8ByN","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","I don’t know","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","Yes","Yes","monthly","2-3 times per year","yearly","almost never","yearly","2-3 times per year","monthly","weekly","monthly","2-3 times per year","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat important","Not very important","Not at all important","N/A (did not use)","Not at all important","Not very important","Somewhat important","Very important","Somewhat important","Not very important","Not at all important","N/A (did not use)","Somewhat important","Not very important","Not at all important","N/A (did not use)","Not at all important","Not very important","Somewhat important","Not very important","Not at all important","N/A (did not use)","Not at all important","Not very important"
"91","R_3p3UUJbXncXoyU4","I don’t know","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","I don’t know","within a 15 minute drive (between 5 and 15 miles)","within a 10 minute walk (less than a half mile)","I don’t know","within a 10 minute walk (less than a half mile)","No","No","almost never","2-3 times per week","2-3 times per week","almost never","almost never","almost never","2-3 times per year","monthly","almost never","almost never","No","No","No","No","No","Yes","No","No","Very important","Somewhat important","Very important","Very important","Very important","Not at all important","Not at all important","Not at all important","Extremely important","Very important","Not at all important","Not at all important","Somewhat important","Not at all important","Somewhat important","Very important","Very important","Not at all important","Not at all important","Not at all important","Extremely important","Extremely important","Not at all important","Not at all important"
"92","R_1lotF0u69z0x0ec","I don’t know","within a 15 minute drive (between 5 and 15 miles)","I don’t know","I don’t know","I don’t know","I don’t know","I don’t know","within a 15 minute drive (between 5 and 15 miles)","Yes","Yes","almost never","almost never","almost never","daily","daily","almost never","almost never","almost never","almost never","almost never","No","No","No","No","No","No","No","No","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)"
"93","R_r0UfieWiCoc8Csh","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","Yes","No","weekly","monthly","weekly","monthly","2-3 times per year","2-3 times per year","monthly","monthly","weekly","weekly","No","No","No","No","No","No","No","No","Somewhat important","Somewhat important","Very important","Extremely important","Not very important","Somewhat important","Somewhat important","Very important","Somewhat important","Extremely important","Extremely important","Very important","Not very important","Not very important","Somewhat important","Very important","Somewhat important","Somewhat important","Not very important","Very important","Somewhat important","Extremely important","Somewhat important","Somewhat important"
"94","R_3hh8VRGVY8zg1kz","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","Yes","Yes","2-3 times per year","2-3 times per year","2-3 times per year","weekly","weekly","2-3 times per year","yearly","yearly","yearly","yearly","No","No","No","No","No","No","No","No","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","N/A (did not use)","N/A (did not use)","Somewhat important","Somewhat important","Extremely important","Somewhat important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Somewhat important","N/A (did not use)","N/A (did not use)","Somewhat important","Somewhat important","Extremely important","Somewhat important","Extremely important"
"95","R_2tuoA23geWnskJ8","I don’t know","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","I don’t know","within a 15 minute drive (between 5 and 15 miles)","I don’t know","I don’t know","I don’t know","No","No","almost never","2-3 times per year","almost never","almost never","almost never","weekly","weekly","almost never","almost never","almost never","No","Yes","No","No","No","No","No","No","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)"
"96","R_3qjkmtXyVASYFsn","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 1 hour drive (between 15 and 60 miles)","No","Yes","almost never","yearly","almost never","weekly","2-3 times per week","almost never","almost never","almost never","almost never","almost never","No","No","No","No","No","No","No","No","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)"
"97","R_1JRDQltdiYdQPoc","I don’t know","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","I don’t know","within a 15 minute drive (between 5 and 15 miles)","I don’t know","I don’t know","I don’t know","No","No","almost never","daily","daily","almost never","almost never","almost never","2-3 times per week","almost never","almost never","almost never","No","No","No","No","No","No","No","No","Very important","Somewhat important","Very important","Extremely important","Extremely important","N/A (did not use)","N/A (did not use)","Very important","Extremely important","Very important","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)"
"98","R_1GHunshRDrZmooE","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 5 minute drive (less than 5 miles)","No","No","almost never","weekly","weekly","almost never","almost never","2-3 times per year","monthly","yearly","yearly","almost never","No","Yes","Yes","No","Yes","No","No","No","Somewhat important","Not very important","Somewhat important","Very important","Somewhat important","Somewhat important","Somewhat important","Not very important","Not very important","Very important","Not at all important","Not at all important","Not very important","Not at all important","Somewhat important","Somewhat important","Not very important","Somewhat important","Not very important","Not at all important","Not very important","Somewhat important","Not at all important","Not at all important"
"99","R_5o0MhGOtzOcYipX","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 10 minute walk (less than a half mile)","within a 5 minute drive (less than 5 miles)","within a 10 minute walk (less than a half mile)","within a 15 minute drive (between 5 and 15 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 10 minute walk (less than a half mile)","Yes","Yes","almost never","weekly","weekly","daily","daily","monthly","weekly","almost never","almost never","almost never","No","Yes","Yes","No","Yes","No","No","No","N/A (did not use)","N/A (did not use)","N/A (did not use)","Very important","Very important","N/A (did not use)","N/A (did not use)","N/A (did not use)","Somewhat important","Very important","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)","N/A (did not use)"
"100","R_UMClgVU4uQXeXSN","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","more than 1 hour away (more than 60 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 15 minute drive (between 5 and 15 miles)","within a 1 hour drive (between 15 and 60 miles)","Yes","Yes","monthly","2-3 times per year","monthly","yearly","2-3 times per year","monthly","yearly","2-3 times per year","monthly","2-3 times per year","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very important","Somewhat important","Very important","Somewhat important","Very important","Somewhat important","Very important","Somewhat important","Very important","Somewhat important","Very important","Somewhat important","Somewhat important","Very important","Somewhat important","Extremely important","Very important","Somewhat important","Very important","Extremely important","Very important","Somewhat important","Very important","Extremely important"
"101","R_3sofHB0HKypsQqD","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 5 minute drive (less than 5 miles)","within a 1 hour drive (between 15 and 60 miles)","within a 5 minute drive (less than 5 miles)","within a 15 minute drive (between 5 and 15 miles)","Yes","Yes","almost never","monthly","monthly","monthly","daily","monthly","monthly","almost never","almost never","almost never","Yes","Yes","Yes","Yes","Yes","No","No","No","Very important","Somewhat important","Very important","Very important","Very important","N/A (did not use)","Somewhat important","N/A (did not use)","Very important","Very important","N/A (did not use)","N/A (did not use)","Very important","Very important","Very important","Very important","Very important","N/A (did not use)","Somewhat important","N/A (did not use)","Very important","Very important","N/A (did not use)","Very important"
